restaurant_id,restaurant_name,city,registration_date
1,Fresh Hub,Pune,2024-09-21
2,Big Diner,Bangalore,2023-03-18
3,Big Corner,Jaipur,2025-03-31
4,Royal Hub,Delhi,2025-05-19
5,Happy Garden,Bangalore,2023-05-10
6,Tasty Bistro,Pune,2024-01-06
7,Big Table,Bangalore,2024-09-11
8,Royal Garden,Pune,2024-01-16
9,Fresh Palace,Surat,2023-05-21
10,Flavors Corner,Kolkata,2023-11-18
11,Golden Bistro,Mumbai,2023-01-27
12,Royal Garden,Jaipur,2024-02-01
13,Flavors Palace,Ahmedabad,2025-03-04
14,Golden Garden,Hyderabad,2024-09-18
15,Golden Garden,Hyderabad,2023-05-06
16,Royal Palace,Chennai,2023-06-26
17,Fresh Palace,Pune,2024-11-14
18,Little Palace,Jaipur,2024-07-09
19,Golden Diner,Delhi,2024-12-29
20,Royal Corner,Jaipur,2023-08-18
21,Tasty Bistro,Delhi,2023-08-31
22,Fresh Hub,Pune,2024-07-21
23,Happy Corner,Chennai,2025-04-02
24,Flavors Kitchen,Surat,2025-06-24
25,Tasty Palace,Ahmedabad,2024-02-12
26,Fresh Café,Kolkata,2025-02-26
27,Big Table,Mumbai,2023-05-09
28,Little Palace,Chennai,2024-04-22
29,Flavors Corner,Delhi,2025-06-18
30,Flavors Table,Delhi,2025-02-25
31,Royal Grill,Jaipur,2025-06-08
32,Spice Palace,Jaipur,2023-06-06
33,Golden Kitchen,Delhi,2023-11-27
34,Urban Corner,Jaipur,2023-10-18
35,Tasty Diner,Hyderabad,2024-10-12
36,Flavors Diner,Delhi,2024-10-02
37,Golden Table,Jaipur,2023-04-06
38,Flavors Kitchen,Surat,2024-08-17
39,Royal Kitchen,Surat,2025-01-07
40,Happy Corner,Surat,2023-02-12
41,Spice Palace,Bangalore,2024-10-18
42,Happy Diner,Hyderabad,2025-02-24
43,Happy Grill,Surat,2024-10-16
44,Spice Garden,Jaipur,2023-10-24
45,Golden Garden,Hyderabad,2025-04-04
46,Big Diner,Chennai,2023-03-16
47,Spice Kitchen,Chennai,2024-03-01
48,Fresh Garden,Hyderabad,2023-12-15
49,Happy Kitchen,Pune,2025-06-01
50,Little Corner,Kolkata,2023-05-14
